iter	MultiClass
0	1.370043435
1	1.354569581
2	1.339274522
3	1.32743774
4	1.308318334
5	1.296571494
6	1.284272744
7	1.273112846
8	1.25910468
9	1.244555651
10	1.229961458
11	1.221115892
12	1.207199853
13	1.197895136
14	1.187525433
15	1.176548569
16	1.168768835
17	1.159077753
18	1.153021031
19	1.145723855
20	1.136368
21	1.129238843
22	1.122562026
23	1.114391924
24	1.109947839
25	1.102239342
26	1.096564541
27	1.092332507
28	1.088108632
29	1.084225805
30	1.079744604
31	1.075549
32	1.069739766
33	1.065683008
34	1.062281986
35	1.056272356
36	1.04981471
37	1.044253666
38	1.042667486
39	1.037855481
40	1.034803574
41	1.031392325
42	1.02944488
43	1.026305242
44	1.022803748
45	1.017119608
46	1.014189103
47	1.011201571
48	1.009281789
49	1.005986258
50	1.001072414
51	0.9985504275
52	0.9930144688
53	0.9902798326
54	0.987161963
55	0.9847143041
56	0.9834280951
57	0.9813054517
58	0.9794518316
59	0.9752383562
60	0.9731169877
61	0.9720129072
62	0.9696964548
63	0.9684715155
64	0.9652956317
65	0.9618944268
66	0.9595241862
67	0.9583478082
68	0.9557385793
69	0.9513844079
70	0.9476388727
71	0.9458225107
72	0.942880848
73	0.9411433218
74	0.9401741523
75	0.9391824306
76	0.9352698566
77	0.9343243111
78	0.9298407436
79	0.9280506952
80	0.9263234899
81	0.9240932087
82	0.9232168545
83	0.9223040744
84	0.9195673209
85	0.9187934682
86	0.9183768386
87	0.916266677
88	0.9138130348
89	0.910968377
90	0.9096380909
91	0.9082722795
92	0.9069835244
93	0.9056873111
94	0.9030861255
95	0.90110111
96	0.899981672
97	0.898478292
98	0.8973166584
99	0.8962580425
100	0.8958102991
101	0.8948228538
102	0.8944571838
103	0.8936342307
104	0.8930958646
105	0.8914243113
106	0.8902065484
107	0.8892427229
108	0.8875149519
109	0.8870553491
110	0.8848846038
111	0.8845154187
112	0.8833182716
113	0.8826685377
114	0.8817814699
115	0.8814837162
116	0.8806414114
117	0.8788483404
118	0.8776286995
119	0.8762532609
120	0.8753377628
121	0.8743891708
122	0.871870799
123	0.8711733152
124	0.8704184605
125	0.8698528376
126	0.8687278613
127	0.8678185505
128	0.8659570689
129	0.8649294442
130	0.8621856164
131	0.8600252143
132	0.8572219579
133	0.8559999586
134	0.8552699765
135	0.8540614702
136	0.8529080955
137	0.8522993308
138	0.8509512659
139	0.8506253763
140	0.8502218362
141	0.8496857112
142	0.848702292
143	0.8468915091
144	0.8444481664
145	0.8439731156
146	0.84339441
147	0.8422631623
148	0.8412149736
149	0.8406339619
150	0.8404755775
151	0.8397128091
152	0.8380429698
153	0.837046775
154	0.8360605079
155	0.8355452195
156	0.8351973855
157	0.8344118719
158	0.8336446318
159	0.8321904935
160	0.8303625998
161	0.8293975039
162	0.829209334
163	0.8281155527
164	0.8275794221
165	0.8271958567
166	0.8263786798
167	0.8252905921
168	0.8243782023
169	0.8235675283
170	0.822951764
171	0.8223179014
172	0.8218945904
173	0.8212398476
174	0.8188266971
175	0.8185216548
176	0.8177898432
177	0.8167474649
178	0.8158412342
179	0.8147728066
180	0.8144649034
181	0.8138509478
182	0.8132761261
183	0.8128093893
184	0.811891178
185	0.8103358873
186	0.8088442829
187	0.8083960792
188	0.8079460967
189	0.8074380544
190	0.8070055476
191	0.8062001531
192	0.8054019223
193	0.8046871114
194	0.8040166327
195	0.8026610496
196	0.8017263808
197	0.8010979483
198	0.8006096806
199	0.7994140978
200	0.7979315675
201	0.7963987402
202	0.7948013205
203	0.7934451828
204	0.7925833815
205	0.7916888073
206	0.7913391521
207	0.7899568035
208	0.7882853508
209	0.7876654817
210	0.7864341047
211	0.7862232638
212	0.7847141221
213	0.7842489192
214	0.7825284323
215	0.7812105609
216	0.7798235518
217	0.7785544905
218	0.7781982712
219	0.7766685583
220	0.7763075801
221	0.7755905959
222	0.7738958439
223	0.7725561483
224	0.7716009518
225	0.7697120994
226	0.7687117981
227	0.7677941123
228	0.7668893246
229	0.7663221948
230	0.7651122235
231	0.7639846947
232	0.7632405792
233	0.7613880882
234	0.7598234595
235	0.7586547156
236	0.7578680216
237	0.757100408
238	0.7564174268
239	0.7544431353
240	0.7537019964
241	0.7534192633
